Company,Company Score,Job Title,Location,Date,Salary
613,0.4736842105263157,175,265,4d,478
99,0.4736842105263157,371,243,2d,518
224,0.42105263157894757,448,84,30d+,243
554,0.1578947368421053,370,100,16d,548
380,0.4736842105263157,294,108,4d,96
570,0.4736842105263157,368,8,30d+,462
261,0.26315789473684204,477,17,1d,600
563,0.4736842105263157,136,131,23d,177
541,0.8421052631578947,294,122,30d+,323
167,0.368421052631579,294,293,5d,137
352,0.7894736842105265,294,240,4d,549
61,0.6315789473684208,202,168,2d,625
386,0.10526315789473695,420,253,5d,436
494,0.3157894736842106,314,243,3d,145
466,0.6315789473684208,294,293,6d,379
434,0.4736842105263157,294,293,5d,608
523,0.7894736842105265,164,16,2d,508
354,0.4736842105263157,324,204,30d+,173
27,0.5789473684210527,384,243,1d,577
443,0.5263157894736841,294,24,24d,43
163,0.42105263157894757,438,74,30d+,428
580,0.3157894736842106,294,73,4d,603
95,0.42105263157894757,294,52,10d,142
493,0.10526315789473695,48,243,25d,419
260,0.8421052631578947,294,234,30d+,427
103,0.6315789473684208,63,293,3d,479
379,0.6842105263157894,279,63,10d,512
522,0.6315789473684208,294,68,30d+,614
407,0.8947368421052628,510,293,9d,190
123,0.21052631578947367,373,204,20d,62
464,0.10526315789473695,446,253,3d,281
367,0.10526315789473695,294,139,3d,84
82,0.7894736842105265,70,265,2d,261
297,0.6315789473684208,367,58,15d,588
123,0.10526315789473695,385,204,19d,307
35,0.4736842105263157,190,271,13d,267
545,0.4736842105263157,442,253,2d,513
480,0.4736842105263157,294,16,30d+,401
133,0.9473684210526319,282,254,30d+,473
400,0.5263157894736841,410,254,2d,385
581,0.8947368421052628,175,23,1d,553
522,0.42105263157894757,294,180,18d,466
252,0.3157894736842106,294,276,10d,387
352,0.5789473684210527,294,240,5d,376
374,0.7894736842105265,258,243,17d,7
356,0.8947368421052628,322,59,11d,138
395,0.42105263157894757,120,32,30d+,531
272,0.7894736842105265,155,252,19d,134
242,0.6842105263157894,162,170,3d,219
581,0.5263157894736841,63,77,24h,522
135,0.8421052631578947,294,199,12d,618
581,0.8947368421052628,217,23,30d+,541
366,0.368421052631579,294,100,16d,295
56,0.26315789473684204,113,35,30d+,158
207,1.0,102,261,2d,210
274,0.21052631578947367,189,139,30d+,41
71,0.10526315789473695,192,230,30d+,297
566,0.3157894736842106,416,251,30d+,319
142,0.7894736842105265,294,5,30d+,194
318,0.6842105263157894,294,124,26d,191
544,0.21052631578947367,398,189,12d,539
134,1.0,63,189,11d,595
541,0.5263157894736841,366,243,4d,465
68,0.5263157894736841,294,122,30d+,327
376,0.3157894736842106,303,122,30d+,477
236,0.3157894736842106,309,293,9d,623
